"key","English (source)","th (current)","Reviewer fix","Notes"
"footer.tagline","The all-in-one hub for visiting Korea — plan, explore, eat and experience, in 20 languages.","ศูนย์รวมครบวงจรสำหรับเที่ยวเกาหลี — วางแผน สำรวจ กิน และสัมผัสประสบการณ์ ใน 20 ภาษา","",""
"footer.disclaimer","Travel facts are checked against official sources with a verification date. Prices, schedules and visa rules change — always confirm at the linked official source before you travel.","ข้อมูลท่องเที่ยวตรวจสอบกับแหล่งทางการพร้อมวันที่ตรวจสอบ ราคา ตารางเวลา และกฎวีซ่าเปลี่ยนแปลงได้ — โปรดยืนยันที่แหล่งทางการที่ลิงก์ไว้ก่อนเดินทางเสมอ","",""
"map.search","Search","ค้นหา","",""
"map.placeholder","Search an address or place…","ค้นหาที่อยู่หรือสถานที่…","",""
"map.kakaoPending","KakaoMap key coming soon.","คีย์ KakaoMap กำลังจะมา","",""
"map.noResult","No result — try a full address.","ไม่พบผลลัพธ์ — ลองใส่ที่อยู่เต็ม","",""
"map.authFail","Naver Maps couldn't authorize — check the Client ID and registered domain.","Naver Maps ยืนยันตัวตนไม่ได้ — ตรวจสอบ Client ID และโดเมนที่ลงทะเบียน","",""
"map.loadFail","Couldn't load the map.","โหลดแผนที่ไม่ได้","",""
"spotify.title","Listen — K-Pop on Spotify","ฟังเพลง — K-Pop บน Spotify","",""
"spotify.sub","Trending groups and the acts fans love worldwide. Pick one to hear their top tracks.","วงที่กำลังมาแรงและศิลปินที่แฟนทั่วโลกรัก เลือกเพื่อฟังเพลงเด่น","",""
"spotify.artists","Artists & groups","ศิลปิน & วง","",""
"spotify.playlists","Curated playlists","เพลย์ลิสต์คัดสรร","",""
"spotify.note","Free previews; full tracks with a Spotify login.","ฟังตัวอย่างฟรี; เพลงเต็มเมื่อเข้าสู่ระบบ Spotify","",""
"planner.day","Day","Day","",""
"planner.gettingThere","Getting there","การเดินทาง","",""
"planner.morning","Morning","เช้า","",""
"planner.afternoon","Afternoon","บ่าย","",""
"planner.evening","Evening","เย็น","",""
"planner.share","Share this trip","แชร์แผนเที่ยว","",""
"planner.transportNote","Times and fares change — confirm with the operator.","เวลาและค่าโดยสารเปลี่ยนได้ — โปรดยืนยันกับผู้ให้บริการ","",""
"dest.title","Destinations","จุดหมาย","",""
"dest.sub","Real places, grouped by city. Popularity figures are sourced, not invented.","สถานที่จริง จัดตามเมือง ตัวเลขความนิยมมีแหล่งอ้างอิง ไม่ได้แต่งขึ้น","",""
"dest.browseAll","All destinations","จุดหมายทั้งหมด","",""
"dest.whyGo","Why go","ทำไมต้องไป","",""
"dest.goodToKnow","Good to know","ควรรู้","",""
"dest.nearby","Nearby","ใกล้เคียง","",""
"dest.official","Official info","ข้อมูลทางการ","",""
"food.title","Food — taste it, then make it","อาหาร — ชิม แล้วลองทำ","",""
"food.sub","Where to eat, and hands-on classes to cook it yourself. Prices vary — we don't invent them.","กินที่ไหน และคลาสลงมือทำเอง ราคาต่างกันไป — เราไม่แต่งขึ้น","",""
"food.eat","Where to eat","กินที่ไหน","",""
"food.make","Making experiences","ประสบการณ์ลงมือทำ","",""
"food.tips","Good to know","ควรรู้","",""
"food.browseAll","All food & experiences","อาหาร & ประสบการณ์ทั้งหมด","",""
"reviews.title","Reviews, by category & language","รีวิว — ตามหมวดและภาษา","",""
"reviews.sub","Real traveler reviews — filter by topic, and see them in your language first. Moderated, never fabricated.","รีวิวจริงจากนักท่องเที่ยว — กรองตามหัวข้อ และแสดงภาษาของคุณก่อน ผ่านการตรวจสอบ ไม่แต่งขึ้น","",""
"reviews.all","All","ทั้งหมด","",""
"reviews.catDest","🏛️ Destinations","🏛️ จุดหมาย","",""
"reviews.catFood","🥢 Food & experiences","🥢 อาหาร & ประสบการณ์","",""
"reviews.catKculture","🎤 K-Culture","🎤 K-Culture","",""
"reviews.catTransport","🚄 Transport","🚄 การเดินทาง","",""
"reviews.empty","No reviews yet — be the first to share your Korea trip.","ยังไม่มีรีวิว — มาเป็นคนแรกที่แชร์ทริปเกาหลีของคุณ","",""
"reviews.cta","Write a review","เขียนรีวิว","",""
"reviews.ctaSoon","Review submissions open soon","ระบบส่งรีวิวกำลังจะเปิด","",""
"factsUI.verified_facts","Verified facts","ข้อมูลที่ตรวจสอบแล้ว","",""
"factsUI.good_to_know","Good to know","ควรรู้","",""
"factsUI.official_sources","Official sources","แหล่งทางการ","",""
"factsUI.source","Source","ที่มา","",""
"factsUI.confirm","⚠ Prices/rules change — confirm at source","⚠ ราคา/กฎเปลี่ยนได้ — ยืนยันที่แหล่งทางการ","",""
"factLabels.exempt_until","Exempt until","ยกเว้นถึง","",""
"factLabels.earrival_card","e-Arrival Card","e-Arrival Card","",""
"factLabels.age_exempt","Age exempt","ยกเว้นตามอายุ","",""
"factLabels.number","Number","หมายเลข","",""
"factLabels.hours","Hours","เวลาทำการ","",""
"factLabels.languages","Languages","ภาษา","",""
"factLabels.fare_krw_each_way","Fare (each way)","ค่าโดยสารเที่ยวเดียว","",""
"factLabels.minutes","Minutes","เวลา (นาที)","",""
"factLabels.type","Type","ประเภท","",""
"factLabels.frequency","Frequency","ความถี่","",""
"factLabels.fare_krw","Fare (KRW)","ค่าโดยสาร (KRW)","",""
"factLabels.pay","Payment","การชำระเงิน","",""
"factLabels.stores","Where to buy","ซื้อที่ไหน","",""
"factLabels.basic_krw","Basic card (KRW)","บัตรพื้นฐาน (KRW)","",""
"factLabels.design_krw","Design edition (KRW)","รุ่นดีไซน์ (KRW)","",""
"factLabels.card_refundable","Card refundable","คืนเงินค่าบัตร","",""
"factLabels.fare_krw_standard","Standard fare (KRW)","ค่าโดยสารชั้นธรรมดา (KRW)","",""
"factLabels.duration","Duration","ระยะเวลา","",""
"factLabels.booking","Booking","การจอง","",""
"factLabels.best","Best seasons","ฤดูที่ดีที่สุด","",""
"factLabels.summer","Summer","ฤดูร้อน","",""
"factLabels.winter","Winter","ฤดูหนาว","",""
"factLabels.currency","Currency","สกุลเงิน","",""
"factLabels.code","Code","รหัส","",""
"factLabels.symbol","Symbol","สัญลักษณ์","",""
"factLabels.tipping","Tipping","ทิป","",""
