"key","English (source)","vi (current)","Reviewer fix","Notes"
"dest.sub","Real places, grouped by city. Popularity figures are sourced, not invented.","Địa điểm thật, phân theo thành phố. Số liệu mức độ nổi tiếng có nguồn, không bịa.","",""
"dest.browseAll","All destinations","Tất cả điểm đến","",""
"dest.whyGo","Why go","Vì sao nên đi","",""
"dest.goodToKnow","Good to know","Cần biết","",""
"dest.nearby","Nearby","Lân cận","",""
"dest.official","Official info","Thông tin chính thức","",""
"food.title","Food — taste it, then make it","Ẩm thực — nếm thử, rồi tự làm","",""
"food.sub","Where to eat, and hands-on classes to cook it yourself. Prices vary — we don't invent them.","Ăn ở đâu, và lớp học tự nấu. Giá thay đổi — chúng tôi không bịa.","",""
"food.eat","Where to eat","Ăn ở đâu","",""
"food.make","Making experiences","Trải nghiệm tự làm","",""
"food.tips","Good to know","Cần biết","",""
"food.browseAll","All food & experiences","Tất cả ẩm thực & trải nghiệm","",""
"reviews.title","Reviews, by category & language","Đánh giá — theo chủ đề & ngôn ngữ","",""
"reviews.sub","Real traveler reviews — filter by topic, and see them in your language first. Moderated, never fabricated.","Đánh giá thật của du khách — lọc theo chủ đề, và ưu tiên ngôn ngữ của bạn. Được kiểm duyệt, không bao giờ bịa.","",""
"reviews.all","All","Tất cả","",""
"reviews.catDest","🏛️ Destinations","🏛️ Điểm đến","",""
"reviews.catFood","🥢 Food & experiences","🥢 Ẩm thực & trải nghiệm","",""
"reviews.catKculture","🎤 K-Culture","🎤 K-Culture","",""
"reviews.catTransport","🚄 Transport","🚄 Di chuyển","",""
"reviews.empty","No reviews yet — be the first to share your Korea trip.","Chưa có đánh giá — hãy là người đầu tiên chia sẻ chuyến đi Hàn Quốc của bạn.","",""
"reviews.cta","Write a review","Viết đánh giá","",""
"reviews.ctaSoon","Review submissions open soon","Tính năng gửi đánh giá sắp mở","",""
"factsUI.verified_facts","Verified facts","Thông tin đã xác minh","",""
"factsUI.good_to_know","Good to know","Cần biết","",""
"factsUI.official_sources","Official sources","Nguồn chính thức","",""
"factsUI.source","Source","Nguồn","",""
"factsUI.confirm","⚠ Prices/rules change — confirm at source","⚠ Giá/quy định thay đổi — xác nhận tại nguồn chính thức","",""
"factLabels.exempt_until","Exempt until","Miễn đến","",""
"factLabels.earrival_card","e-Arrival Card","e-Arrival Card","",""
"factLabels.age_exempt","Age exempt","Miễn theo tuổi","",""
"factLabels.number","Number","Số","",""
"factLabels.hours","Hours","Giờ phục vụ","",""
"factLabels.languages","Languages","Ngôn ngữ","",""
"factLabels.fare_krw_each_way","Fare (each way)","Vé một chiều","",""
"factLabels.minutes","Minutes","Thời gian (phút)","",""
"factLabels.type","Type","Loại","",""
"factLabels.frequency","Frequency","Tần suất","",""
"factLabels.fare_krw","Fare (KRW)","Giá vé (KRW)","",""
"factLabels.pay","Payment","Thanh toán","",""
"factLabels.stores","Where to buy","Mua ở đâu","",""
"factLabels.basic_krw","Basic card (KRW)","Thẻ cơ bản (KRW)","",""
"factLabels.design_krw","Design edition (KRW)","Bản thiết kế (KRW)","",""
"factLabels.card_refundable","Card refundable","Hoàn phí thẻ","",""
"factLabels.fare_krw_standard","Standard fare (KRW)","Vé phổ thông (KRW)","",""
"factLabels.duration","Duration","Thời gian","",""
"factLabels.booking","Booking","Đặt vé","",""
"factLabels.best","Best seasons","Mùa đẹp nhất","",""
"factLabels.summer","Summer","Mùa hè","",""
"factLabels.winter","Winter","Mùa đông","",""
"factLabels.currency","Currency","Tiền tệ","",""
"factLabels.code","Code","Mã","",""
"factLabels.symbol","Symbol","Ký hiệu","",""
"factLabels.tipping","Tipping","Tiền tip","",""
