"key","English (source)","fil (current)","Reviewer fix","Notes"
"spotify.note","Free previews; full tracks with a Spotify login.","Libreng preview; buong kanta kapag naka-login sa Spotify.","",""
"planner.day","Day","Day","",""
"planner.gettingThere","Getting there","Paano makakarating","",""
"planner.morning","Morning","Umaga","",""
"planner.afternoon","Afternoon","Hapon","",""
"planner.evening","Evening","Gabi","",""
"planner.share","Share this trip","Ibahagi ang biyahe","",""
"planner.transportNote","Times and fares change — confirm with the operator.","Nagbabago ang oras at pamasahe — kumpirmahin sa operator.","",""
"dest.title","Destinations","Mga destinasyon","",""
"dest.sub","Real places, grouped by city. Popularity figures are sourced, not invented.","Totoong lugar, nakagrupo ayon sa lungsod. May pinagmulan ang mga bilang ng popularidad, hindi gawa-gawa.","",""
"dest.browseAll","All destinations","Lahat ng destinasyon","",""
"dest.whyGo","Why go","Bakit pumunta","",""
"dest.goodToKnow","Good to know","Mabuting malaman","",""
"dest.nearby","Nearby","Malapit","",""
"dest.official","Official info","Opisyal na impormasyon","",""
"food.title","Food — taste it, then make it","Pagkain — tikman, tapos gawin","",""
"food.sub","Where to eat, and hands-on classes to cook it yourself. Prices vary — we don't invent them.","Saan kakain, at mga klase para ikaw mismo magluto. Iba-iba ang presyo — hindi namin ginagawa-gawa.","",""
"food.eat","Where to eat","Saan kakain","",""
"food.make","Making experiences","Mga karanasan sa paggawa","",""
"food.tips","Good to know","Mabuting malaman","",""
"food.browseAll","All food & experiences","Lahat ng pagkain at karanasan","",""
"reviews.title","Reviews, by category & language","Mga review — ayon sa kategorya at wika","",""
"reviews.sub","Real traveler reviews — filter by topic, and see them in your language first. Moderated, never fabricated.","Totoong review ng manlalakbay — i-filter ayon sa paksa, ipinapakita muna sa iyong wika. Nirerepaso, hindi kailanman gawa-gawa.","",""
"reviews.all","All","Lahat","",""
"reviews.catDest","🏛️ Destinations","🏛️ Mga destinasyon","",""
"reviews.catFood","🥢 Food & experiences","🥢 Pagkain at karanasan","",""
"reviews.catKculture","🎤 K-Culture","🎤 K-Culture","",""
"reviews.catTransport","🚄 Transport","🚄 Transportasyon","",""
"reviews.empty","No reviews yet — be the first to share your Korea trip.","Wala pang review — maging una na magbahagi ng biyahe mo sa Korea.","",""
"reviews.cta","Write a review","Magsulat ng review","",""
"reviews.ctaSoon","Review submissions open soon","Malapit nang magbukas ang pag-submit ng review","",""
"factsUI.verified_facts","Verified facts","Na-verify na impormasyon","",""
"factsUI.good_to_know","Good to know","Mabuting malaman","",""
"factsUI.official_sources","Official sources","Opisyal na pinagmulan","",""
"factsUI.source","Source","Pinagmulan","",""
"factsUI.confirm","⚠ Prices/rules change — confirm at source","⚠ Nagbabago ang presyo/patakaran — kumpirmahin sa opisyal na pinagmulan","",""
"factLabels.exempt_until","Exempt until","Exempt hanggang","",""
"factLabels.earrival_card","e-Arrival Card","e-Arrival Card","",""
"factLabels.age_exempt","Age exempt","Exemption ayon sa edad","",""
"factLabels.number","Number","Numero","",""
"factLabels.hours","Hours","Oras ng serbisyo","",""
"factLabels.languages","Languages","Mga wika","",""
"factLabels.fare_krw_each_way","Fare (each way)","Isang biyahe","",""
"factLabels.minutes","Minutes","Tagal (min)","",""
"factLabels.type","Type","Uri","",""
"factLabels.frequency","Frequency","Dalas","",""
"factLabels.fare_krw","Fare (KRW)","Pamasahe (KRW)","",""
"factLabels.pay","Payment","Bayad","",""
"factLabels.stores","Where to buy","Saan bibili","",""
"factLabels.basic_krw","Basic card (KRW)","Basic card (KRW)","",""
"factLabels.design_krw","Design edition (KRW)","Design edition (KRW)","",""
"factLabels.card_refundable","Card refundable","Refund ng card","",""
"factLabels.fare_krw_standard","Standard fare (KRW)","Standard class fare (KRW)","",""
"factLabels.duration","Duration","Tagal","",""
"factLabels.booking","Booking","Booking","",""
"factLabels.best","Best seasons","Pinakamagandang panahon","",""
"factLabels.summer","Summer","Tag-init","",""
"factLabels.winter","Winter","Taglamig","",""
"factLabels.currency","Currency","Pera","",""
"factLabels.code","Code","Code","",""
"factLabels.symbol","Symbol","Simbolo","",""
"factLabels.tipping","Tipping","Tip","",""
