"key","English (source)","ms (current)","Reviewer fix","Notes"
"map.placeholder","Search an address or place…","Cari alamat atau tempat…","",""
"map.kakaoPending","KakaoMap key coming soon.","Kunci KakaoMap akan datang.","",""
"map.noResult","No result — try a full address.","Tiada hasil — cuba alamat penuh.","",""
"map.authFail","Naver Maps couldn't authorize — check the Client ID and registered domain.","Naver Maps gagal mengesahkan — semak Client ID dan domain berdaftar.","",""
"map.loadFail","Couldn't load the map.","Gagal memuatkan peta.","",""
"spotify.title","Listen — K-Pop on Spotify","Dengar — K-Pop di Spotify","",""
"spotify.sub","Trending groups and the acts fans love worldwide. Pick one to hear their top tracks.","Kumpulan sedang popular dan artis kegemaran peminat seluruh dunia. Pilih untuk mendengar lagu terbaik.","",""
"spotify.artists","Artists & groups","Artis & kumpulan","",""
"spotify.playlists","Curated playlists","Senarai main pilihan","",""
"spotify.note","Free previews; full tracks with a Spotify login.","Pratonton percuma; lagu penuh dengan log masuk Spotify.","",""
"planner.day","Day","Day","",""
"planner.gettingThere","Getting there","Cara ke sana","",""
"planner.morning","Morning","Pagi","",""
"planner.afternoon","Afternoon","Tengah hari","",""
"planner.evening","Evening","Malam","",""
"planner.share","Share this trip","Kongsi perjalanan","",""
"planner.transportNote","Times and fares change — confirm with the operator.","Masa dan tambang berubah — sahkan dengan pengendali.","",""
"dest.title","Destinations","Destinasi","",""
"dest.sub","Real places, grouped by city. Popularity figures are sourced, not invented.","Tempat sebenar, dikumpulkan mengikut bandar. Angka populariti bersumber, bukan rekaan.","",""
"dest.browseAll","All destinations","Semua destinasi","",""
"dest.whyGo","Why go","Kenapa pergi","",""
"dest.goodToKnow","Good to know","Baik untuk tahu","",""
"dest.nearby","Nearby","Berdekatan","",""
"dest.official","Official info","Maklumat rasmi","",""
"food.title","Food — taste it, then make it","Makanan — rasa, kemudian buat sendiri","",""
"food.sub","Where to eat, and hands-on classes to cook it yourself. Prices vary — we don't invent them.","Di mana makan, dan kelas untuk masak sendiri. Harga berbeza — kami tidak mereka-reka.","",""
"food.eat","Where to eat","Di mana makan","",""
"food.make","Making experiences","Pengalaman membuat","",""
"food.tips","Good to know","Baik untuk tahu","",""
"food.browseAll","All food & experiences","Semua makanan & pengalaman","",""
"reviews.title","Reviews, by category & language","Ulasan — mengikut kategori & bahasa","",""
"reviews.sub","Real traveler reviews — filter by topic, and see them in your language first. Moderated, never fabricated.","Ulasan sebenar pengembara — tapis mengikut topik, dipaparkan dalam bahasa anda dahulu. Dikawal selia, tidak pernah direka.","",""
"reviews.all","All","Semua","",""
"reviews.catDest","🏛️ Destinations","🏛️ Destinasi","",""
"reviews.catFood","🥢 Food & experiences","🥢 Makanan & pengalaman","",""
"reviews.catKculture","🎤 K-Culture","🎤 K-Culture","",""
"reviews.catTransport","🚄 Transport","🚄 Pengangkutan","",""
"reviews.empty","No reviews yet — be the first to share your Korea trip.","Belum ada ulasan — jadilah yang pertama berkongsi perjalanan Korea anda.","",""
"reviews.cta","Write a review","Tulis ulasan","",""
"reviews.ctaSoon","Review submissions open soon","Penghantaran ulasan akan dibuka","",""
"factsUI.verified_facts","Verified facts","Maklumat disahkan","",""
"factsUI.good_to_know","Good to know","Baik untuk tahu","",""
"factsUI.official_sources","Official sources","Sumber rasmi","",""
"factsUI.source","Source","Sumber","",""
"factsUI.confirm","⚠ Prices/rules change — confirm at source","⚠ Harga/peraturan berubah — sahkan di sumber rasmi","",""
"factLabels.exempt_until","Exempt until","Dikecualikan hingga","",""
"factLabels.earrival_card","e-Arrival Card","e-Arrival Card","",""
"factLabels.age_exempt","Age exempt","Pengecualian umur","",""
"factLabels.number","Number","Nombor","",""
"factLabels.hours","Hours","Waktu perkhidmatan","",""
"factLabels.languages","Languages","Bahasa","",""
"factLabels.fare_krw_each_way","Fare (each way)","Sehala","",""
"factLabels.minutes","Minutes","Masa (min)","",""
"factLabels.type","Type","Jenis","",""
"factLabels.frequency","Frequency","Kekerapan","",""
"factLabels.fare_krw","Fare (KRW)","Tambang (KRW)","",""
"factLabels.pay","Payment","Bayaran","",""
"factLabels.stores","Where to buy","Beli di mana","",""
"factLabels.basic_krw","Basic card (KRW)","Kad asas (KRW)","",""
"factLabels.design_krw","Design edition (KRW)","Edisi reka bentuk (KRW)","",""
"factLabels.card_refundable","Card refundable","Bayaran balik kad","",""
"factLabels.fare_krw_standard","Standard fare (KRW)","Tambang kelas standard (KRW)","",""
"factLabels.duration","Duration","Tempoh","",""
"factLabels.booking","Booking","Tempahan","",""
"factLabels.best","Best seasons","Musim terbaik","",""
"factLabels.summer","Summer","Musim panas","",""
"factLabels.winter","Winter","Musim sejuk","",""
"factLabels.currency","Currency","Mata wang","",""
"factLabels.code","Code","Kod","",""
"factLabels.symbol","Symbol","Simbol","",""
"factLabels.tipping","Tipping","Tip","",""
