"key","English (source)","tr (current)","Reviewer fix","Notes"
"help.embassy.sub","Address, phone & map by country.","Ülkeye göre adres, telefon ve harita.","",""
"help.unavailable","Being verified","Doğrulanıyor","",""
"footer.tagline","The all-in-one hub for visiting Korea — plan, explore, eat and experience, in 20 languages.","Kore'yi ziyaret için hepsi bir arada merkez — planla, keşfet, ye ve deneyimle, 20 dilde.","",""
"footer.disclaimer","Travel facts are checked against official sources with a verification date. Prices, schedules and visa rules change — always confirm at the linked official source before you travel.","Gezi bilgileri resmi kaynaklarla doğrulanır ve doğrulama tarihi verilir. Fiyatlar, tarifeler ve vize kuralları değişir — seyahatten önce her zaman bağlantılı resmi kaynaktan teyit et.","",""
"map.search","Search","Ara","",""
"map.placeholder","Search an address or place…","Adres veya yer ara…","",""
"map.kakaoPending","KakaoMap key coming soon.","KakaoMap anahtarı yakında.","",""
"map.noResult","No result — try a full address.","Sonuç yok — tam adres dene.","",""
"map.authFail","Naver Maps couldn't authorize — check the Client ID and registered domain.","Naver Maps yetkilendirilemedi — Client ID ve kayıtlı alan adını kontrol et.","",""
"map.loadFail","Couldn't load the map.","Harita yüklenemedi.","",""
"spotify.title","Listen — K-Pop on Spotify","Dinle — Spotify'da K-Pop","",""
"spotify.sub","Trending groups and the acts fans love worldwide. Pick one to hear their top tracks.","Yükselen gruplar ve dünyada hayranların sevdiği sanatçılar. En iyi şarkıları dinlemek için birini seç.","",""
"spotify.artists","Artists & groups","Sanatçılar & gruplar","",""
"spotify.playlists","Curated playlists","Seçme çalma listeleri","",""
"spotify.note","Free previews; full tracks with a Spotify login.","Ücretsiz önizleme; tam şarkılar Spotify girişiyle.","",""
"planner.day","Day","Day","",""
"planner.gettingThere","Getting there","Nasıl gidilir","",""
"planner.morning","Morning","Sabah","",""
"planner.afternoon","Afternoon","Öğleden sonra","",""
"planner.evening","Evening","Akşam","",""
"planner.share","Share this trip","Geziyi paylaş","",""
"planner.transportNote","Times and fares change — confirm with the operator.","Saatler ve ücretler değişir — işletmeciyle teyit et.","",""
"dest.title","Destinations","Rotalar","",""
"dest.sub","Real places, grouped by city. Popularity figures are sourced, not invented.","Gerçek yerler, şehre göre gruplanmış. Popülerlik rakamları kaynaklıdır, uydurma değil.","",""
"dest.browseAll","All destinations","Tüm rotalar","",""
"dest.whyGo","Why go","Neden gitmeli","",""
"dest.goodToKnow","Good to know","Bilmekte fayda var","",""
"dest.nearby","Nearby","Yakında","",""
"dest.official","Official info","Resmi bilgi","",""
"food.title","Food — taste it, then make it","Yemek — tat, sonra kendin yap","",""
"food.sub","Where to eat, and hands-on classes to cook it yourself. Prices vary — we don't invent them.","Nerede yenir ve kendin pişireceğin dersler. Fiyatlar değişir — uydurmuyoruz.","",""
"food.eat","Where to eat","Nerede yenir","",""
"food.make","Making experiences","Yapma deneyimleri","",""
"food.tips","Good to know","Bilmekte fayda var","",""
"food.browseAll","All food & experiences","Tüm yemek & deneyimler","",""
"reviews.title","Reviews, by category & language","Yorumlar — kategori ve dile göre","",""
"reviews.sub","Real traveler reviews — filter by topic, and see them in your language first. Moderated, never fabricated.","Gerçek gezgin yorumları — konuya göre süz, önce kendi dilinde göster. Denetlenir, asla uydurulmaz.","",""
"reviews.all","All","Tümü","",""
"reviews.catDest","🏛️ Destinations","🏛️ Rotalar","",""
"reviews.catFood","🥢 Food & experiences","🥢 Yemek & deneyimler","",""
"reviews.catKculture","🎤 K-Culture","🎤 K-Culture","",""
"reviews.catTransport","🚄 Transport","🚄 Ulaşım","",""
"reviews.empty","No reviews yet — be the first to share your Korea trip.","Henüz yorum yok — Kore gezini ilk paylaşan sen ol.","",""
"reviews.cta","Write a review","Yorum yaz","",""
"reviews.ctaSoon","Review submissions open soon","Yorum gönderimi yakında açılıyor","",""
"factsUI.verified_facts","Verified facts","Doğrulanmış bilgi","",""
"factsUI.good_to_know","Good to know","Bilmekte fayda var","",""
"factsUI.official_sources","Official sources","Resmi kaynaklar","",""
"factsUI.source","Source","Kaynak","",""
"factsUI.confirm","⚠ Prices/rules change — confirm at source","⚠ Fiyat/kurallar değişir — resmi kaynaktan teyit et","",""
"factLabels.exempt_until","Exempt until","Muafiyet bitişi","",""
"factLabels.earrival_card","e-Arrival Card","e-Arrival Card","",""
"factLabels.age_exempt","Age exempt","Yaş muafiyeti","",""
"factLabels.number","Number","Numara","",""
"factLabels.hours","Hours","Hizmet saatleri","",""
"factLabels.languages","Languages","Diller","",""
"factLabels.fare_krw_each_way","Fare (each way)","Tek yön ücreti","",""
"factLabels.minutes","Minutes","Süre (dk)","",""
"factLabels.type","Type","Tür","",""
"factLabels.frequency","Frequency","Sıklık","",""
"factLabels.fare_krw","Fare (KRW)","Ücret (KRW)","",""
"factLabels.pay","Payment","Ödeme","",""
"factLabels.stores","Where to buy","Nereden alınır","",""
"factLabels.basic_krw","Basic card (KRW)","Temel kart (KRW)","",""
"factLabels.design_krw","Design edition (KRW)","Tasarım sürümü (KRW)","",""
"factLabels.card_refundable","Card refundable","Kart iadesi","",""
"factLabels.fare_krw_standard","Standard fare (KRW)","Standart sınıf ücreti (KRW)","",""
"factLabels.duration","Duration","Süre","",""
"factLabels.booking","Booking","Rezervasyon","",""
"factLabels.best","Best seasons","En iyi mevsimler","",""
"factLabels.summer","Summer","Yaz","",""
"factLabels.winter","Winter","Kış","",""
"factLabels.currency","Currency","Para birimi","",""
"factLabels.code","Code","Kod","",""
"factLabels.symbol","Symbol","Sembol","",""
"factLabels.tipping","Tipping","Bahşiş","",""
