"key","English (source)","ar (current)","Reviewer fix","Notes"
"hero.f_dest","Where do you want to go?","إلى أين تريد الذهاب؟","",""
"hero.f_days","Days","الأيام","",""
"hero.f_travelers","Travelers","المسافرون","",""
"hero.f_style","Trip style","نمط الرحلة","",""
"hero.build","Build my trip","أنشئ رحلتي","",""
"help.eyebrow","Peace of mind","راحة البال","",""
"help.title","Help & Safety","المساعدة والأمان","",""
"help.sub","Verified essentials to save before you land — every number checked against an official source.","معلومات أساسية مُتحقَّق منها من مصادر رسمية، احفظها قبل الوصول.","",""
"help.verified_on","Verified","تم التحقق","",""
"help.check_official","Always confirm at the official source","تحقّق دائماً من المصدر الرسمي","",""
"help.embassy.title","Your embassy","سفارة بلدك","",""
"help.embassy.sub","Address, phone & map by country.","العنوان والهاتف والخريطة حسب الدولة.","",""
"help.unavailable","Being verified","قيد التحقق","",""
"footer.tagline","The all-in-one hub for visiting Korea — plan, explore, eat and experience, in 20 languages.","منصة شاملة لزيارة كوريا — خطّط واستكشف وتذوّق وعِش التجارب، بـ٢٠ لغة.","",""
"footer.disclaimer","Travel facts are checked against official sources with a verification date. Prices, schedules and visa rules change — always confirm at the linked official source before you travel.","تُدقَّق معلومات السفر مع مصادر رسمية مع تاريخ التحقق. الأسعار والمواعيد وقواعد التأشيرة تتغير — تأكّد دائماً من المصدر الرسمي المرتبط قبل السفر.","",""
"map.search","Search","بحث","",""
"map.placeholder","Search an address or place…","ابحث عن عنوان أو مكان…","",""
"map.kakaoPending","KakaoMap key coming soon.","مفتاح KakaoMap قريباً.","",""
"map.noResult","No result — try a full address.","لا نتائج — جرّب عنواناً كاملاً.","",""
"map.authFail","Naver Maps couldn't authorize — check the Client ID and registered domain.","تعذّر تفويض Naver Maps — تحقّق من Client ID والنطاق المسجّل.","",""
"map.loadFail","Couldn't load the map.","تعذّر تحميل الخريطة.","",""
"spotify.title","Listen — K-Pop on Spotify","استمع — K-Pop على Spotify","",""
"spotify.sub","Trending groups and the acts fans love worldwide. Pick one to hear their top tracks.","فرق رائجة وفنانون يحبّهم المعجبون حول العالم. اختر واحداً لسماع أبرز أغانيه.","",""
"spotify.artists","Artists & groups","الفنانون والفرق","",""
"spotify.playlists","Curated playlists","قوائم مختارة","",""
"spotify.note","Free previews; full tracks with a Spotify login.","مقاطع مجانية؛ الأغاني كاملة بتسجيل الدخول إلى Spotify.","",""
"planner.day","Day","Day","",""
"planner.gettingThere","Getting there","كيفية الوصول","",""
"planner.morning","Morning","صباحاً","",""
"planner.afternoon","Afternoon","بعد الظهر","",""
"planner.evening","Evening","مساءً","",""
"planner.share","Share this trip","شارك الرحلة","",""
"planner.transportNote","Times and fares change — confirm with the operator.","المواعيد والأسعار تتغير — تأكّد من المشغّل.","",""
"dest.title","Destinations","الوجهات","",""
"dest.sub","Real places, grouped by city. Popularity figures are sourced, not invented.","أماكن حقيقية، مُرتّبة حسب المدينة. أرقام الشهرة مصدرها موثّق وليست مُختلقة.","",""
"dest.browseAll","All destinations","كل الوجهات","",""
"dest.whyGo","Why go","لماذا تذهب","",""
"dest.goodToKnow","Good to know","معلومات مفيدة","",""
"dest.nearby","Nearby","قريب منك","",""
"dest.official","Official info","معلومات رسمية","",""
"food.title","Food — taste it, then make it","الطعام — تذوّق ثم اصنعه","",""
"food.sub","Where to eat, and hands-on classes to cook it yourself. Prices vary — we don't invent them.","أين تأكل، ودروس لتطبخ بنفسك. الأسعار تختلف — لا نختلقها.","",""
"food.eat","Where to eat","أين تأكل","",""
"food.make","Making experiences","تجارب الصنع","",""
"food.tips","Good to know","معلومات مفيدة","",""
"food.browseAll","All food & experiences","كل الطعام والتجارب","",""
"reviews.title","Reviews, by category & language","التقييمات — حسب الفئة واللغة","",""
"reviews.sub","Real traveler reviews — filter by topic, and see them in your language first. Moderated, never fabricated.","تقييمات حقيقية من المسافرين — رشّح حسب الموضوع، وتظهر بلغتك أولاً. مُراجَعة ولا تُختلق أبداً.","",""
"reviews.all","All","الكل","",""
"reviews.catDest","🏛️ Destinations","🏛️ الوجهات","",""
"reviews.catFood","🥢 Food & experiences","🥢 الطعام والتجارب","",""
"reviews.catKculture","🎤 K-Culture","🎤 K-Culture","",""
"reviews.catTransport","🚄 Transport","🚄 النقل","",""
"reviews.empty","No reviews yet — be the first to share your Korea trip.","لا تقييمات بعد — كن أول من يشارك رحلته إلى كوريا.","",""
"reviews.cta","Write a review","اكتب تقييماً","",""
"reviews.ctaSoon","Review submissions open soon","إرسال التقييمات يُفتح قريباً","",""
"factsUI.verified_facts","Verified facts","معلومات مُتحقَّقة","",""
"factsUI.good_to_know","Good to know","معلومات مفيدة","",""
"factsUI.official_sources","Official sources","مصادر رسمية","",""
"factsUI.source","Source","المصدر","",""
"factsUI.confirm","⚠ Prices/rules change — confirm at source","⚠ الأسعار/القواعد تتغير — تأكّد من المصدر الرسمي","",""
"factLabels.exempt_until","Exempt until","معفى حتى","",""
"factLabels.earrival_card","e-Arrival Card","e-Arrival Card","",""
"factLabels.age_exempt","Age exempt","إعفاء حسب العمر","",""
"factLabels.number","Number","الرقم","",""
"factLabels.hours","Hours","ساعات العمل","",""
"factLabels.languages","Languages","اللغات","",""
"factLabels.fare_krw_each_way","Fare (each way)","أجرة ذهاب فقط","",""
"factLabels.minutes","Minutes","المدة (دقيقة)","",""
"factLabels.type","Type","النوع","",""
"factLabels.frequency","Frequency","التكرار","",""
"factLabels.fare_krw","Fare (KRW)","الأجرة (KRW)","",""
"factLabels.pay","Payment","الدفع","",""
"factLabels.stores","Where to buy","أين تشتري","",""
"factLabels.basic_krw","Basic card (KRW)","بطاقة أساسية (KRW)","",""
"factLabels.design_krw","Design edition (KRW)","إصدار مصمَّم (KRW)","",""
"factLabels.card_refundable","Card refundable","استرداد قيمة البطاقة","",""
"factLabels.fare_krw_standard","Standard fare (KRW)","أجرة الدرجة العادية (KRW)","",""
"factLabels.duration","Duration","المدة","",""
"factLabels.booking","Booking","الحجز","",""
"factLabels.best","Best seasons","أفضل المواسم","",""
"factLabels.summer","Summer","الصيف","",""
"factLabels.winter","Winter","الشتاء","",""
"factLabels.currency","Currency","العملة","",""
"factLabels.code","Code","الكود","",""
"factLabels.symbol","Symbol","الرمز","",""
"factLabels.tipping","Tipping","الإكرامية","",""
