"key","English (source)","hi (current)","Reviewer fix","Notes"
"planner.afternoon","Afternoon","दोपहर","",""
"planner.evening","Evening","शाम","",""
"planner.share","Share this trip","यात्रा साझा करें","",""
"planner.transportNote","Times and fares change — confirm with the operator.","समय और किराया बदलते हैं — ऑपरेटर से पुष्टि करें।","",""
"dest.title","Destinations","गंतव्य","",""
"dest.sub","Real places, grouped by city. Popularity figures are sourced, not invented.","असली जगहें, शहर के अनुसार। लोकप्रियता के आँकड़े स्रोत सहित हैं, मनगढ़ंत नहीं।","",""
"dest.browseAll","All destinations","सभी गंतव्य","",""
"dest.whyGo","Why go","क्यों जाएँ","",""
"dest.goodToKnow","Good to know","जानना अच्छा","",""
"dest.nearby","Nearby","आस-पास","",""
"dest.official","Official info","आधिकारिक जानकारी","",""
"food.title","Food — taste it, then make it","खाना — चखें, फिर खुद बनाएँ","",""
"food.sub","Where to eat, and hands-on classes to cook it yourself. Prices vary — we don't invent them.","कहाँ खाएँ, और खुद पकाने की क्लास। कीमतें अलग-अलग — हम मनगढ़ंत नहीं बताते।","",""
"food.eat","Where to eat","कहाँ खाएँ","",""
"food.make","Making experiences","बनाने के अनुभव","",""
"food.tips","Good to know","जानना अच्छा","",""
"food.browseAll","All food & experiences","सभी खाना और अनुभव","",""
"reviews.title","Reviews, by category & language","समीक्षाएँ — श्रेणी और भाषा अनुसार","",""
"reviews.sub","Real traveler reviews — filter by topic, and see them in your language first. Moderated, never fabricated.","यात्रियों की असली समीक्षाएँ — विषय अनुसार छाँटें, आपकी भाषा पहले। मॉडरेट, कभी मनगढ़ंत नहीं।","",""
"reviews.all","All","सभी","",""
"reviews.catDest","🏛️ Destinations","🏛️ गंतव्य","",""
"reviews.catFood","🥢 Food & experiences","🥢 खाना और अनुभव","",""
"reviews.catKculture","🎤 K-Culture","🎤 K-Culture","",""
"reviews.catTransport","🚄 Transport","🚄 परिवहन","",""
"reviews.empty","No reviews yet — be the first to share your Korea trip.","अभी कोई समीक्षा नहीं — अपनी कोरिया यात्रा साझा करने वाले पहले बनें।","",""
"reviews.cta","Write a review","समीक्षा लिखें","",""
"reviews.ctaSoon","Review submissions open soon","समीक्षा सबमिशन जल्द खुलेगा","",""
"factsUI.verified_facts","Verified facts","सत्यापित जानकारी","",""
"factsUI.good_to_know","Good to know","जानना अच्छा","",""
"factsUI.official_sources","Official sources","आधिकारिक स्रोत","",""
"factsUI.source","Source","स्रोत","",""
"factsUI.confirm","⚠ Prices/rules change — confirm at source","⚠ कीमतें/नियम बदलते हैं — आधिकारिक स्रोत पर पुष्टि करें","",""
"factLabels.exempt_until","Exempt until","छूट अंतिम तिथि","",""
"factLabels.earrival_card","e-Arrival Card","e-Arrival Card","",""
"factLabels.age_exempt","Age exempt","आयु छूट","",""
"factLabels.number","Number","नंबर","",""
"factLabels.hours","Hours","सेवा समय","",""
"factLabels.languages","Languages","भाषाएँ","",""
"factLabels.fare_krw_each_way","Fare (each way)","एकतरफ़ा किराया","",""
"factLabels.minutes","Minutes","समय (मिनट)","",""
"factLabels.type","Type","प्रकार","",""
"factLabels.frequency","Frequency","आवृत्ति","",""
"factLabels.fare_krw","Fare (KRW)","किराया (KRW)","",""
"factLabels.pay","Payment","भुगतान","",""
"factLabels.stores","Where to buy","कहाँ खरीदें","",""
"factLabels.basic_krw","Basic card (KRW)","बेसिक कार्ड (KRW)","",""
"factLabels.design_krw","Design edition (KRW)","डिज़ाइन संस्करण (KRW)","",""
"factLabels.card_refundable","Card refundable","कार्ड रिफंड","",""
"factLabels.fare_krw_standard","Standard fare (KRW)","स्टैंडर्ड क्लास किराया (KRW)","",""
"factLabels.duration","Duration","अवधि","",""
"factLabels.booking","Booking","बुकिंग","",""
"factLabels.best","Best seasons","सर्वोत्तम मौसम","",""
"factLabels.summer","Summer","गर्मी","",""
"factLabels.winter","Winter","सर्दी","",""
"factLabels.currency","Currency","मुद्रा","",""
"factLabels.code","Code","कोड","",""
"factLabels.symbol","Symbol","चिह्न","",""
"factLabels.tipping","Tipping","टिप","",""
