"key","English (source)","bn (current)","Reviewer fix","Notes"
"help.check_official","Always confirm at the official source","সবসময় সরকারি সূত্রে নিশ্চিত করুন","",""
"help.embassy.title","Your embassy","আপনার দূতাবাস","",""
"help.embassy.sub","Address, phone & map by country.","দেশ অনুযায়ী ঠিকানা, ফোন ও মানচিত্র।","",""
"help.unavailable","Being verified","যাচাই চলছে","",""
"footer.tagline","The all-in-one hub for visiting Korea — plan, explore, eat and experience, in 20 languages.","কোরিয়া ভ্রমণের অল-ইন-ওয়ান হাব — পরিকল্পনা, অন্বেষণ, খাওয়া ও অভিজ্ঞতা, ২০টি ভাষায়।","",""
"footer.disclaimer","Travel facts are checked against official sources with a verification date. Prices, schedules and visa rules change — always confirm at the linked official source before you travel.","ভ্রমণ তথ্য সরকারি সূত্রের সাথে মিলিয়ে যাচাই তারিখসহ দেওয়া হয়। দাম, সময়সূচি ও ভিসা নিয়ম বদলায় — ভ্রমণের আগে সবসময় সংযুক্ত সরকারি সূত্রে নিশ্চিত করুন।","",""
"map.search","Search","খুঁজুন","",""
"map.placeholder","Search an address or place…","ঠিকানা বা স্থান খুঁজুন…","",""
"map.kakaoPending","KakaoMap key coming soon.","KakaoMap কী শীঘ্রই আসছে।","",""
"map.noResult","No result — try a full address.","কোনো ফল নেই — পূর্ণ ঠিকানা চেষ্টা করুন।","",""
"map.authFail","Naver Maps couldn't authorize — check the Client ID and registered domain.","Naver Maps অনুমোদন করতে পারেনি — Client ID ও নিবন্ধিত ডোমেন দেখুন।","",""
"map.loadFail","Couldn't load the map.","মানচিত্র লোড করা যায়নি।","",""
"spotify.title","Listen — K-Pop on Spotify","শুনুন — Spotify-তে K-Pop","",""
"spotify.sub","Trending groups and the acts fans love worldwide. Pick one to hear their top tracks.","জনপ্রিয় গ্রুপ এবং বিশ্বজুড়ে ভক্তদের প্রিয় শিল্পী। সেরা গান শুনতে একটি বেছে নিন।","",""
"spotify.artists","Artists & groups","শিল্পী ও গ্রুপ","",""
"spotify.playlists","Curated playlists","বাছাই প্লেলিস্ট","",""
"spotify.note","Free previews; full tracks with a Spotify login.","বিনামূল্যে প্রিভিউ; পূর্ণ গান Spotify লগইনে।","",""
"planner.day","Day","Day","",""
"planner.gettingThere","Getting there","কীভাবে যাবেন","",""
"planner.morning","Morning","সকাল","",""
"planner.afternoon","Afternoon","দুপুর","",""
"planner.evening","Evening","সন্ধ্যা","",""
"planner.share","Share this trip","ভ্রমণ শেয়ার করুন","",""
"planner.transportNote","Times and fares change — confirm with the operator.","সময় ও ভাড়া বদলায় — অপারেটরের সাথে নিশ্চিত করুন।","",""
"dest.title","Destinations","গন্তব্য","",""
"dest.sub","Real places, grouped by city. Popularity figures are sourced, not invented.","প্রকৃত স্থান, শহর অনুযায়ী সাজানো। জনপ্রিয়তার সংখ্যা সূত্রসহ, বানানো নয়।","",""
"dest.browseAll","All destinations","সব গন্তব্য","",""
"dest.whyGo","Why go","কেন যাবেন","",""
"dest.goodToKnow","Good to know","জানা ভালো","",""
"dest.nearby","Nearby","কাছাকাছি","",""
"dest.official","Official info","সরকারি তথ্য","",""
"food.title","Food — taste it, then make it","খাবার — চেখে দেখুন, তারপর নিজে বানান","",""
"food.sub","Where to eat, and hands-on classes to cook it yourself. Prices vary — we don't invent them.","কোথায় খাবেন, আর নিজে রান্নার ক্লাস। দাম ভিন্ন হয় — আমরা বানিয়ে বলি না।","",""
"food.eat","Where to eat","কোথায় খাবেন","",""
"food.make","Making experiences","তৈরির অভিজ্ঞতা","",""
"food.tips","Good to know","জানা ভালো","",""
"food.browseAll","All food & experiences","সব খাবার ও অভিজ্ঞতা","",""
"reviews.title","Reviews, by category & language","রিভিউ — বিভাগ ও ভাষা অনুযায়ী","",""
"reviews.sub","Real traveler reviews — filter by topic, and see them in your language first. Moderated, never fabricated.","ভ্রমণকারীদের প্রকৃত রিভিউ — বিষয় অনুযায়ী ফিল্টার, আপনার ভাষা আগে। যাচাইকৃত, কখনো বানানো নয়।","",""
"reviews.all","All","সব","",""
"reviews.catDest","🏛️ Destinations","🏛️ গন্তব্য","",""
"reviews.catFood","🥢 Food & experiences","🥢 খাবার ও অভিজ্ঞতা","",""
"reviews.catKculture","🎤 K-Culture","🎤 K-Culture","",""
"reviews.catTransport","🚄 Transport","🚄 পরিবহন","",""
"reviews.empty","No reviews yet — be the first to share your Korea trip.","এখনো কোনো রিভিউ নেই — আপনার কোরিয়া ভ্রমণ প্রথম শেয়ার করুন।","",""
"reviews.cta","Write a review","রিভিউ লিখুন","",""
"reviews.ctaSoon","Review submissions open soon","রিভিউ জমা শীঘ্রই চালু হবে","",""
"factsUI.verified_facts","Verified facts","যাচাইকৃত তথ্য","",""
"factsUI.good_to_know","Good to know","জানা ভালো","",""
"factsUI.official_sources","Official sources","সরকারি সূত্র","",""
"factsUI.source","Source","সূত্র","",""
"factsUI.confirm","⚠ Prices/rules change — confirm at source","⚠ দাম/নিয়ম বদলায় — সরকারি সূত্রে নিশ্চিত করুন","",""
"factLabels.exempt_until","Exempt until","অব্যাহতি পর্যন্ত","",""
"factLabels.earrival_card","e-Arrival Card","e-Arrival Card","",""
"factLabels.age_exempt","Age exempt","বয়সভিত্তিক অব্যাহতি","",""
"factLabels.number","Number","নম্বর","",""
"factLabels.hours","Hours","সেবার সময়","",""
"factLabels.languages","Languages","ভাষা","",""
"factLabels.fare_krw_each_way","Fare (each way)","একমুখী ভাড়া","",""
"factLabels.minutes","Minutes","সময় (মিনিট)","",""
"factLabels.type","Type","ধরন","",""
"factLabels.frequency","Frequency","ফ্রিকোয়েন্সি","",""
"factLabels.fare_krw","Fare (KRW)","ভাড়া (KRW)","",""
"factLabels.pay","Payment","পেমেন্ট","",""
"factLabels.stores","Where to buy","কোথায় কিনবেন","",""
"factLabels.basic_krw","Basic card (KRW)","বেসিক কার্ড (KRW)","",""
"factLabels.design_krw","Design edition (KRW)","ডিজাইন সংস্করণ (KRW)","",""
"factLabels.card_refundable","Card refundable","কার্ড ফেরত","",""
"factLabels.fare_krw_standard","Standard fare (KRW)","স্ট্যান্ডার্ড ক্লাস ভাড়া (KRW)","",""
"factLabels.duration","Duration","সময়কাল","",""
"factLabels.booking","Booking","বুকিং","",""
"factLabels.best","Best seasons","সেরা মৌসুম","",""
"factLabels.summer","Summer","গ্রীষ্ম","",""
"factLabels.winter","Winter","শীত","",""
"factLabels.currency","Currency","মুদ্রা","",""
"factLabels.code","Code","কোড","",""
"factLabels.symbol","Symbol","প্রতীক","",""
"factLabels.tipping","Tipping","টিপ","",""
