"key","English (source)","id (current)","Reviewer fix","Notes"
"hero.f_style","Trip style","Gaya perjalanan","",""
"hero.build","Build my trip","Buat rencana","",""
"help.eyebrow","Peace of mind","Tenang","",""
"help.title","Help & Safety","Bantuan & keamanan","",""
"help.sub","Verified essentials to save before you land — every number checked against an official source.","Info penting yang sudah dicek dengan sumber resmi, simpan sebelum tiba.","",""
"help.verified_on","Verified","Diverifikasi","",""
"help.check_official","Always confirm at the official source","Selalu cek terbaru di sumber resmi","",""
"help.embassy.title","Your embassy","Kedutaan negaramu","",""
"help.embassy.sub","Address, phone & map by country.","Alamat, telepon & peta per negara.","",""
"help.unavailable","Being verified","Sedang diverifikasi","",""
"footer.tagline","The all-in-one hub for visiting Korea — plan, explore, eat and experience, in 20 languages.","Pusat serba-ada untuk berkunjung ke Korea — rencanakan, jelajahi, makan, dan alami, dalam 20 bahasa.","",""
"footer.disclaimer","Travel facts are checked against official sources with a verification date. Prices, schedules and visa rules change — always confirm at the linked official source before you travel.","Info perjalanan dicek dengan sumber resmi beserta tanggal verifikasi. Harga, jadwal, dan aturan visa berubah — selalu konfirmasi di sumber resmi yang ditautkan sebelum berangkat.","",""
"map.search","Search","Cari","",""
"map.placeholder","Search an address or place…","Cari alamat atau tempat…","",""
"map.kakaoPending","KakaoMap key coming soon.","Kunci KakaoMap segera hadir.","",""
"map.noResult","No result — try a full address.","Tidak ada hasil — coba alamat lengkap.","",""
"map.authFail","Naver Maps couldn't authorize — check the Client ID and registered domain.","Naver Maps gagal otorisasi — periksa Client ID dan domain terdaftar.","",""
"map.loadFail","Couldn't load the map.","Gagal memuat peta.","",""
"spotify.title","Listen — K-Pop on Spotify","Dengarkan — K-Pop di Spotify","",""
"spotify.sub","Trending groups and the acts fans love worldwide. Pick one to hear their top tracks.","Grup yang sedang tren dan artis yang dicintai penggemar dunia. Pilih untuk mendengar lagu populernya.","",""
"spotify.artists","Artists & groups","Artis & grup","",""
"spotify.playlists","Curated playlists","Playlist pilihan","",""
"spotify.note","Free previews; full tracks with a Spotify login.","Pratinjau gratis; lagu penuh dengan login Spotify.","",""
"planner.day","Day","Day","",""
"planner.gettingThere","Getting there","Perjalanan","",""
"planner.morning","Morning","Pagi","",""
"planner.afternoon","Afternoon","Siang","",""
"planner.evening","Evening","Malam","",""
"planner.share","Share this trip","Bagikan rencana","",""
"planner.transportNote","Times and fares change — confirm with the operator.","Waktu dan tarif berubah — konfirmasi dengan operator.","",""
"dest.title","Destinations","Destinasi","",""
"dest.sub","Real places, grouped by city. Popularity figures are sourced, not invented.","Tempat nyata, dikelompokkan per kota. Angka popularitas bersumber, bukan karangan.","",""
"dest.browseAll","All destinations","Semua destinasi","",""
"dest.whyGo","Why go","Kenapa ke sini","",""
"dest.goodToKnow","Good to know","Perlu diketahui","",""
"dest.nearby","Nearby","Sekitar","",""
"dest.official","Official info","Info resmi","",""
"food.title","Food — taste it, then make it","Kuliner — cicipi, lalu buat sendiri","",""
"food.sub","Where to eat, and hands-on classes to cook it yourself. Prices vary — we don't invent them.","Tempat makan, dan kelas memasak sendiri. Harga bervariasi — kami tidak mengarang.","",""
"food.eat","Where to eat","Tempat makan","",""
"food.make","Making experiences","Pengalaman membuat","",""
"food.tips","Good to know","Perlu diketahui","",""
"food.browseAll","All food & experiences","Semua kuliner & pengalaman","",""
"reviews.title","Reviews, by category & language","Ulasan — per kategori & bahasa","",""
"reviews.sub","Real traveler reviews — filter by topic, and see them in your language first. Moderated, never fabricated.","Ulasan nyata dari wisatawan — saring per topik, dan tampil dalam bahasamu dahulu. Dimoderasi, tidak pernah dikarang.","",""
"reviews.all","All","Semua","",""
"reviews.catDest","🏛️ Destinations","🏛️ Destinasi","",""
"reviews.catFood","🥢 Food & experiences","🥢 Kuliner & pengalaman","",""
"reviews.catKculture","🎤 K-Culture","🎤 K-Culture","",""
"reviews.catTransport","🚄 Transport","🚄 Transportasi","",""
"reviews.empty","No reviews yet — be the first to share your Korea trip.","Belum ada ulasan — jadilah yang pertama membagikan perjalanan Korea-mu.","",""
"reviews.cta","Write a review","Tulis ulasan","",""
"reviews.ctaSoon","Review submissions open soon","Pengiriman ulasan segera dibuka","",""
"factsUI.verified_facts","Verified facts","Info terverifikasi","",""
"factsUI.good_to_know","Good to know","Perlu diketahui","",""
"factsUI.official_sources","Official sources","Sumber resmi","",""
"factsUI.source","Source","Sumber","",""
"factsUI.confirm","⚠ Prices/rules change — confirm at source","⚠ Harga/aturan berubah — konfirmasi di sumber resmi","",""
"factLabels.exempt_until","Exempt until","Bebas hingga","",""
"factLabels.earrival_card","e-Arrival Card","e-Arrival Card","",""
"factLabels.age_exempt","Age exempt","Bebas berdasarkan usia","",""
"factLabels.number","Number","Nomor","",""
"factLabels.hours","Hours","Jam layanan","",""
"factLabels.languages","Languages","Bahasa","",""
"factLabels.fare_krw_each_way","Fare (each way)","Tarif sekali jalan","",""
"factLabels.minutes","Minutes","Waktu (menit)","",""
"factLabels.type","Type","Jenis","",""
"factLabels.frequency","Frequency","Frekuensi","",""
"factLabels.fare_krw","Fare (KRW)","Tarif (KRW)","",""
"factLabels.pay","Payment","Pembayaran","",""
"factLabels.stores","Where to buy","Beli di mana","",""
"factLabels.basic_krw","Basic card (KRW)","Kartu dasar (KRW)","",""
"factLabels.design_krw","Design edition (KRW)","Edisi desain (KRW)","",""
"factLabels.card_refundable","Card refundable","Pengembalian biaya kartu","",""
"factLabels.fare_krw_standard","Standard fare (KRW)","Tarif kelas standar (KRW)","",""
"factLabels.duration","Duration","Durasi","",""
"factLabels.booking","Booking","Pemesanan","",""
"factLabels.best","Best seasons","Musim terbaik","",""
"factLabels.summer","Summer","Musim panas","",""
"factLabels.winter","Winter","Musim dingin","",""
"factLabels.currency","Currency","Mata uang","",""
"factLabels.code","Code","Kode","",""
"factLabels.symbol","Symbol","Simbol","",""
"factLabels.tipping","Tipping","Tip","",""
